cellType,Mouse_96w,Mouse_ALI,Mouse_96w_pc,Mouse_ALI_pc
CT_1,181,275,6.0%,12.7%
CT_2,71,123,2.4%,5.7%
CT_3,737,117,24.5%,5.4%
CT_4,341,205,11.3%,9.5%
CT_5,272,209,9.0%,9.7%
CT_6,131,301,4.4%,13.9%
CT_7,277,143,9.2%,6.6%
CT_8,169,190,5.6%,8.8%
CT_9,243,53,8.1%,2.5%
CT_10,185,110,6.2%,5.1%
CT_11,45,121,1.5%,5.6%
CT_12,39,94,1.3%,4.3%
CT_13,0,0,0.0%,0.0%
Basal Ectoderm,76,27,2.5%,1.2%
Surface Ectoderm,0,0,0.0%,0.0%
Differentiating Ectoderm,0,0,0.0%,0.0%
Muscle,77,66,2.6%,3.1%
Blood,35,42,1.2%,1.9%
Immune,43,24,1.4%,1.1%
Endothelial,84,63,2.8%,2.9%
Pericytes,0,0,0.0%,0.0%
Schwann,0,0,0.0%,0.0%
Neuron,0,0,0.0%,0.0%
Total,3006,2163,100.0%,100.0%
